week_date,region,platform,segment,customer_type,transactions,sales,Date,Day,week_number,month_number,calendar_year,age_band,demographic,avg_transaction,month_name
8/31/2020,AFRICA,Retail,C4,Existing,117018,5941067,2020-08-31,31,5,8,2020,Retirees,Couples,50.77,Aug
8/31/2020,EUROPE,Retail,F1,Existing,6769,395877,2020-08-31,31,5,8,2020,Young Adults,Families,58.48,Aug
8/31/2020,AFRICA,Retail,F3,Existing,403810,22712143,2020-08-31,31,5,8,2020,Retirees,Families,56.24,Aug
8/31/2020,SOUTH AMERICA,Shopify,F1,Existing,74,16149,2020-08-31,31,5,8,2020,Young Adults,Families,218.23,Aug
8/31/2020,CANADA,Retail,F2,Existing,61517,3322211,2020-08-31,31,5,8,2020,Middle Aged,Families,54.0,Aug
8/31/2020,EUROPE,Retail,F3,New,1655,66422,2020-08-31,31,5,8,2020,Retirees,Families,40.13,Aug
8/31/2020,AFRICA,Shopify,F1,New,201,27184,2020-08-31,31,5,8,2020,Young Adults,Families,135.24,Aug
8/31/2020,ASIA,Shopify,unknown,Guest,5794,979807,2020-08-31,31,5,8,2020,unknown,unknown,169.11,Aug
8/31/2020,AFRICA,Retail,F1,New,23416,833470,2020-08-31,31,5,8,2020,Young Adults,Families,35.59,Aug
8/31/2020,OCEANIA,Retail,F1,Existing,144056,7178808,2020-08-31,31,5,8,2020,Young Adults,Families,49.83,Aug
8/31/2020,OCEANIA,Retail,C4,Existing,151673,7422165,2020-08-31,31,5,8,2020,Retirees,Couples,48.94,Aug
8/31/2020,CANADA,Shopify,C1,Existing,585,91616,2020-08-31,31,5,8,2020,Young Adults,Couples,156.61,Aug
8/31/2020,CANADA,Retail,F2,New,18180,661362,2020-08-31,31,5,8,2020,Middle Aged,Families,36.38,Aug
8/31/2020,CANADA,Retail,C1,New,30402,786613,2020-08-31,31,5,8,2020,Young Adults,Couples,25.87,Aug
8/31/2020,SOUTH AMERICA,Shopify,C1,Existing,69,11755,2020-08-31,31,5,8,2020,Young Adults,Couples,170.36,Aug
8/31/2020,USA,Retail,C2,New,26620,883573,2020-08-31,31,5,8,2020,Middle Aged,Couples,33.19,Aug
8/31/2020,AFRICA,Retail,unknown,New,58165,2232935,2020-08-31,31,5,8,2020,unknown,unknown,38.39,Aug
8/31/2020,CANADA,Shopify,C1,New,97,12438,2020-08-31,31,5,8,2020,Young Adults,Couples,128.23,Aug
8/31/2020,SOUTH AMERICA,Shopify,F2,Existing,37,8473,2020-08-31,31,5,8,2020,Middle Aged,Families,229.0,Aug
8/31/2020,EUROPE,Retail,C2,New,2857,104677,2020-08-31,31,5,8,2020,Middle Aged,Couples,36.64,Aug
8/31/2020,OCEANIA,Retail,C4,New,65594,2016930,2020-08-31,31,5,8,2020,Retirees,Couples,30.75,Aug
8/31/2020,EUROPE,Retail,C2,Existing,9710,461694,2020-08-31,31,5,8,2020,Middle Aged,Couples,47.55,Aug
8/31/2020,EUROPE,Shopify,C4,New,3,1221,2020-08-31,31,5,8,2020,Retirees,Couples,407.0,Aug
8/31/2020,OCEANIA,Shopify,C3,New,567,95547,2020-08-31,31,5,8,2020,Retirees,Couples,168.51,Aug
8/31/2020,USA,Retail,C1,New,36069,990085,2020-08-31,31,5,8,2020,Young Adults,Couples,27.45,Aug
8/31/2020,ASIA,Retail,F2,Existing,220712,10624187,2020-08-31,31,5,8,2020,Middle Aged,Families,48.14,Aug
8/31/2020,OCEANIA,Shopify,unknown,Guest,11218,2078649,2020-08-31,31,5,8,2020,unknown,unknown,185.3,Aug
8/31/2020,USA,Shopify,C3,New,205,33536,2020-08-31,31,5,8,2020,Retirees,Couples,163.59,Aug
8/31/2020,AFRICA,Shopify,C1,New,299,35957,2020-08-31,31,5,8,2020,Young Adults,Couples,120.26,Aug
8/31/2020,EUROPE,Retail,F1,New,953,40760,2020-08-31,31,5,8,2020,Young Adults,Families,42.77,Aug
8/31/2020,SOUTH AMERICA,Shopify,C2,New,45,8917,2020-08-31,31,5,8,2020,Middle Aged,Couples,198.16,Aug
8/31/2020,CANADA,Shopify,C3,Existing,846,154393,2020-08-31,31,5,8,2020,Retirees,Couples,182.5,Aug
8/31/2020,USA,Retail,C1,Existing,57648,2393490,2020-08-31,31,5,8,2020,Young Adults,Couples,41.52,Aug
8/31/2020,EUROPE,Shopify,C1,New,21,3288,2020-08-31,31,5,8,2020,Young Adults,Couples,156.57,Aug
8/31/2020,SOUTH AMERICA,Shopify,F2,New,9,1437,2020-08-31,31,5,8,2020,Middle Aged,Families,159.67,Aug
8/31/2020,OCEANIA,Shopify,F3,New,190,30264,2020-08-31,31,5,8,2020,Retirees,Families,159.28,Aug
8/31/2020,AFRICA,Shopify,C3,Existing,2647,530397,2020-08-31,31,5,8,2020,Retirees,Couples,200.38,Aug
8/31/2020,CANADA,Shopify,C4,New,21,2494,2020-08-31,31,5,8,2020,Retirees,Couples,118.76,Aug
8/31/2020,OCEANIA,Retail,F2,New,91435,3101538,2020-08-31,31,5,8,2020,Middle Aged,Families,33.92,Aug
8/31/2020,EUROPE,Retail,C3,New,3843,158799,2020-08-31,31,5,8,2020,Retirees,Couples,41.32,Aug
8/31/2020,USA,Retail,F3,New,28987,1096531,2020-08-31,31,5,8,2020,Retirees,Families,37.83,Aug
8/31/2020,ASIA,Shopify,F2,New,245,35519,2020-08-31,31,5,8,2020,Middle Aged,Families,144.98,Aug
8/31/2020,OCEANIA,Retail,C3,Existing,339633,16520774,2020-08-31,31,5,8,2020,Retirees,Couples,48.64,Aug
8/31/2020,EUROPE,Shopify,C3,Existing,182,45036,2020-08-31,31,5,8,2020,Retirees,Couples,247.45,Aug
8/31/2020,CANADA,Shopify,F3,Existing,659,126801,2020-08-31,31,5,8,2020,Retirees,Families,192.41,Aug
8/31/2020,AFRICA,Shopify,C3,New,340,56734,2020-08-31,31,5,8,2020,Retirees,Couples,166.86,Aug
8/31/2020,ASIA,Retail,C1,Existing,187781,6218547,2020-08-31,31,5,8,2020,Young Adults,Couples,33.12,Aug
8/31/2020,OCEANIA,Shopify,F2,Existing,6870,1373529,2020-08-31,31,5,8,2020,Middle Aged,Families,199.93,Aug
8/31/2020,OCEANIA,Retail,C1,New,172521,3964262,2020-08-31,31,5,8,2020,Young Adults,Couples,22.98,Aug
8/31/2020,CANADA,Shopify,C2,New,105,14694,2020-08-31,31,5,8,2020,Middle Aged,Couples,139.94,Aug
8/31/2020,CANADA,Retail,F3,New,19524,690966,2020-08-31,31,5,8,2020,Retirees,Families,35.39,Aug
8/31/2020,ASIA,Retail,C4,New,53286,1520060,2020-08-31,31,5,8,2020,Retirees,Couples,28.53,Aug
8/31/2020,SOUTH AMERICA,Retail,C1,New,2466,52421,2020-08-31,31,5,8,2020,Young Adults,Couples,21.26,Aug
8/31/2020,EUROPE,Retail,unknown,Guest,97001,3352338,2020-08-31,31,5,8,2020,unknown,unknown,34.56,Aug
8/31/2020,CANADA,Shopify,F3,New,36,6107,2020-08-31,31,5,8,2020,Retirees,Families,169.64,Aug
8/31/2020,USA,Shopify,F2,Existing,2031,402380,2020-08-31,31,5,8,2020,Middle Aged,Families,198.12,Aug
8/31/2020,AFRICA,Retail,F2,Existing,277600,14910405,2020-08-31,31,5,8,2020,Middle Aged,Families,53.71,Aug
8/31/2020,USA,Shopify,F2,New,157,25858,2020-08-31,31,5,8,2020,Middle Aged,Families,164.7,Aug
8/31/2020,EUROPE,Shopify,unknown,New,20,4085,2020-08-31,31,5,8,2020,unknown,unknown,204.25,Aug
8/31/2020,OCEANIA,Shopify,C1,Existing,2801,481198,2020-08-31,31,5,8,2020,Young Adults,Couples,171.8,Aug
8/31/2020,CANADA,Retail,unknown,Guest,396145,11133538,2020-08-31,31,5,8,2020,unknown,unknown,28.1,Aug
8/31/2020,USA,Retail,F2,New,28592,1063716,2020-08-31,31,5,8,2020,Middle Aged,Families,37.2,Aug
8/31/2020,CANADA,Retail,C2,Existing,23062,1001335,2020-08-31,31,5,8,2020,Middle Aged,Couples,43.42,Aug
8/31/2020,OCEANIA,Retail,unknown,Guest,2437738,63989387,2020-08-31,31,5,8,2020,unknown,unknown,26.25,Aug
8/31/2020,EUROPE,Shopify,unknown,Guest,343,79359,2020-08-31,31,5,8,2020,unknown,unknown,231.37,Aug
8/31/2020,OCEANIA,Shopify,F3,Existing,3920,836865,2020-08-31,31,5,8,2020,Retirees,Families,213.49,Aug
8/31/2020,ASIA,Shopify,unknown,Existing,384,67279,2020-08-31,31,5,8,2020,unknown,unknown,175.21,Aug
8/31/2020,SOUTH AMERICA,Retail,F3,New,329,11863,2020-08-31,31,5,8,2020,Retirees,Families,36.06,Aug
8/31/2020,EUROPE,Retail,F2,New,1738,72565,2020-08-31,31,5,8,2020,Middle Aged,Families,41.75,Aug
8/31/2020,OCEANIA,Retail,F3,New,110894,3749562,2020-08-31,31,5,8,2020,Retirees,Families,33.81,Aug
8/31/2020,USA,Shopify,unknown,Existing,196,40740,2020-08-31,31,5,8,2020,unknown,unknown,207.86,Aug
8/31/2020,USA,Retail,C3,Existing,102736,5786447,2020-08-31,31,5,8,2020,Retirees,Couples,56.32,Aug
8/31/2020,EUROPE,Retail,C4,Existing,4652,250536,2020-08-31,31,5,8,2020,Retirees,Couples,53.86,Aug
8/31/2020,OCEANIA,Retail,unknown,Existing,50786,2056315,2020-08-31,31,5,8,2020,unknown,unknown,40.49,Aug
8/31/2020,SOUTH AMERICA,Shopify,F3,New,3,372,2020-08-31,31,5,8,2020,Retirees,Families,124.0,Aug
8/31/2020,OCEANIA,Shopify,C4,Existing,731,136743,2020-08-31,31,5,8,2020,Retirees,Couples,187.06,Aug
8/31/2020,CANADA,Shopify,C3,New,115,16103,2020-08-31,31,5,8,2020,Retirees,Couples,140.03,Aug
8/31/2020,SOUTH AMERICA,Shopify,unknown,Guest,2172,407861,2020-08-31,31,5,8,2020,unknown,unknown,187.78,Aug
8/31/2020,USA,Shopify,F3,New,63,10501,2020-08-31,31,5,8,2020,Retirees,Families,166.68,Aug
8/31/2020,CANADA,Retail,C4,New,13579,451994,2020-08-31,31,5,8,2020,Retirees,Couples,33.29,Aug
8/31/2020,USA,Shopify,C4,Existing,164,29757,2020-08-31,31,5,8,2020,Retirees,Couples,181.45,Aug
8/31/2020,CANADA,Shopify,C2,Existing,726,125653,2020-08-31,31,5,8,2020,Middle Aged,Couples,173.08,Aug
8/31/2020,ASIA,Shopify,C3,New,247,35572,2020-08-31,31,5,8,2020,Retirees,Couples,144.02,Aug
8/31/2020,ASIA,Shopify,C1,New,277,35314,2020-08-31,31,5,8,2020,Young Adults,Couples,127.49,Aug
8/31/2020,OCEANIA,Shopify,unknown,New,507,83877,2020-08-31,31,5,8,2020,unknown,unknown,165.44,Aug
8/31/2020,ASIA,Retail,C1,New,132545,2819145,2020-08-31,31,5,8,2020,Young Adults,Couples,21.27,Aug
8/31/2020,ASIA,Retail,F3,New,89785,2770220,2020-08-31,31,5,8,2020,Retirees,Families,30.85,Aug
8/31/2020,USA,Shopify,F3,Existing,1083,224778,2020-08-31,31,5,8,2020,Retirees,Families,207.55,Aug
8/31/2020,ASIA,Shopify,C1,Existing,1282,210754,2020-08-31,31,5,8,2020,Young Adults,Couples,164.39,Aug
8/31/2020,AFRICA,Shopify,unknown,New,300,51883,2020-08-31,31,5,8,2020,unknown,unknown,172.94,Aug
8/31/2020,OCEANIA,Shopify,C4,New,100,15077,2020-08-31,31,5,8,2020,Retirees,Couples,150.77,Aug
8/31/2020,SOUTH AMERICA,Retail,C4,Existing,414,18437,2020-08-31,31,5,8,2020,Retirees,Couples,44.53,Aug
8/31/2020,SOUTH AMERICA,Shopify,unknown,Existing,3,472,2020-08-31,31,5,8,2020,unknown,unknown,157.33,Aug
8/31/2020,CANADA,Retail,unknown,Existing,8410,411147,2020-08-31,31,5,8,2020,unknown,unknown,48.89,Aug
8/31/2020,EUROPE,Shopify,F2,Existing,249,55333,2020-08-31,31,5,8,2020,Middle Aged,Families,222.22,Aug
8/31/2020,SOUTH AMERICA,Retail,C1,Existing,3087,85926,2020-08-31,31,5,8,2020,Young Adults,Couples,27.83,Aug
8/31/2020,AFRICA,Shopify,F3,New,122,20927,2020-08-31,31,5,8,2020,Retirees,Families,171.53,Aug
8/31/2020,AFRICA,Retail,unknown,Existing,37883,1657269,2020-08-31,31,5,8,2020,unknown,unknown,43.75,Aug
8/31/2020,ASIA,Shopify,C4,New,46,6147,2020-08-31,31,5,8,2020,Retirees,Couples,133.63,Aug
8/31/2020,ASIA,Retail,C4,Existing,110176,4894437,2020-08-31,31,5,8,2020,Retirees,Couples,44.42,Aug
8/31/2020,AFRICA,Retail,unknown,Guest,1547309,44346247,2020-08-31,31,5,8,2020,unknown,unknown,28.66,Aug
8/31/2020,OCEANIA,Shopify,F1,Existing,4498,839437,2020-08-31,31,5,8,2020,Young Adults,Families,186.62,Aug
8/31/2020,CANADA,Shopify,F1,Existing,789,134990,2020-08-31,31,5,8,2020,Young Adults,Families,171.09,Aug
8/31/2020,SOUTH AMERICA,Shopify,C3,Existing,109,23057,2020-08-31,31,5,8,2020,Retirees,Couples,211.53,Aug
8/31/2020,EUROPE,Retail,C4,New,1352,49263,2020-08-31,31,5,8,2020,Retirees,Couples,36.44,Aug
8/31/2020,ASIA,Retail,unknown,Existing,38663,1493771,2020-08-31,31,5,8,2020,unknown,unknown,38.64,Aug
8/31/2020,AFRICA,Shopify,C2,New,389,57455,2020-08-31,31,5,8,2020,Middle Aged,Couples,147.7,Aug
8/31/2020,CANADA,Retail,unknown,New,14685,561282,2020-08-31,31,5,8,2020,unknown,unknown,38.22,Aug
8/31/2020,USA,Retail,unknown,New,22186,930478,2020-08-31,31,5,8,2020,unknown,unknown,41.94,Aug
8/31/2020,OCEANIA,Shopify,C2,New,842,132424,2020-08-31,31,5,8,2020,Middle Aged,Couples,157.27,Aug
8/31/2020,USA,Shopify,F1,New,135,20860,2020-08-31,31,5,8,2020,Young Adults,Families,154.52,Aug
8/31/2020,AFRICA,Retail,C1,Existing,186404,6891042,2020-08-31,31,5,8,2020,Young Adults,Couples,36.97,Aug
8/31/2020,AFRICA,Shopify,C1,Existing,1689,269373,2020-08-31,31,5,8,2020,Young Adults,Couples,159.49,Aug
8/31/2020,SOUTH AMERICA,Retail,unknown,Guest,413244,16755039,2020-08-31,31,5,8,2020,unknown,unknown,40.55,Aug
8/31/2020,ASIA,Shopify,F1,New,228,33200,2020-08-31,31,5,8,2020,Young Adults,Families,145.61,Aug
8/31/2020,OCEANIA,Retail,C1,Existing,260181,9284850,2020-08-31,31,5,8,2020,Young Adults,Couples,35.69,Aug
8/31/2020,EUROPE,Retail,F2,Existing,14482,887564,2020-08-31,31,5,8,2020,Middle Aged,Families,61.29,Aug
8/31/2020,EUROPE,Shopify,C1,Existing,118,27732,2020-08-31,31,5,8,2020,Young Adults,Couples,235.02,Aug
8/31/2020,AFRICA,Retail,C1,New,97673,2423159,2020-08-31,31,5,8,2020,Young Adults,Couples,24.81,Aug
8/31/2020,ASIA,Shopify,F3,New,113,15927,2020-08-31,31,5,8,2020,Retirees,Families,140.95,Aug
8/31/2020,SOUTH AMERICA,Retail,unknown,New,1266,44500,2020-08-31,31,5,8,2020,unknown,unknown,35.15,Aug
8/31/2020,SOUTH AMERICA,Shopify,F1,New,6,623,2020-08-31,31,5,8,2020,Young Adults,Families,103.83,Aug
8/31/2020,USA,Retail,C3,New,46838,1769576,2020-08-31,31,5,8,2020,Retirees,Couples,37.78,Aug
8/31/2020,USA,Retail,C4,New,18774,665292,2020-08-31,31,5,8,2020,Retirees,Couples,35.44,Aug
8/31/2020,USA,Retail,C4,Existing,40024,2186307,2020-08-31,31,5,8,2020,Retirees,Couples,54.62,Aug
8/31/2020,USA,Shopify,C2,Existing,1420,277104,2020-08-31,31,5,8,2020,Middle Aged,Couples,195.14,Aug
8/31/2020,ASIA,Retail,C2,New,87269,2234801,2020-08-31,31,5,8,2020,Middle Aged,Couples,25.61,Aug
8/31/2020,USA,Shopify,unknown,New,154,25762,2020-08-31,31,5,8,2020,unknown,unknown,167.29,Aug
8/31/2020,USA,Shopify,C3,Existing,1501,312519,2020-08-31,31,5,8,2020,Retirees,Couples,208.21,Aug
8/31/2020,EUROPE,Shopify,C4,Existing,22,4971,2020-08-31,31,5,8,2020,Retirees,Couples,225.95,Aug
8/31/2020,CANADA,Retail,C3,Existing,62206,3227065,2020-08-31,31,5,8,2020,Retirees,Couples,51.88,Aug
8/31/2020,CANADA,Shopify,unknown,Guest,1621,269863,2020-08-31,31,5,8,2020,unknown,unknown,166.48,Aug
8/31/2020,AFRICA,Retail,F2,New,65304,2291992,2020-08-31,31,5,8,2020,Middle Aged,Families,35.1,Aug
8/31/2020,EUROPE,Retail,unknown,Existing,3211,150741,2020-08-31,31,5,8,2020,unknown,unknown,46.95,Aug
8/31/2020,ASIA,Shopify,unknown,New,278,46931,2020-08-31,31,5,8,2020,unknown,unknown,168.82,Aug
8/31/2020,EUROPE,Shopify,F1,Existing,138,30015,2020-08-31,31,5,8,2020,Young Adults,Families,217.5,Aug
8/31/2020,USA,Retail,F2,Existing,96079,5527494,2020-08-31,31,5,8,2020,Middle Aged,Families,57.53,Aug
8/31/2020,USA,Shopify,C1,Existing,739,128749,2020-08-31,31,5,8,2020,Young Adults,Couples,174.22,Aug
8/31/2020,SOUTH AMERICA,Retail,F2,Existing,1098,48912,2020-08-31,31,5,8,2020,Middle Aged,Families,44.55,Aug
8/31/2020,OCEANIA,Retail,unknown,New,83764,2829225,2020-08-31,31,5,8,2020,unknown,unknown,33.78,Aug
8/31/2020,EUROPE,Retail,C3,Existing,14816,815588,2020-08-31,31,5,8,2020,Retirees,Couples,55.05,Aug
8/31/2020,AFRICA,Shopify,C2,Existing,2568,471837,2020-08-31,31,5,8,2020,Middle Aged,Couples,183.74,Aug
8/31/2020,ASIA,Shopify,F3,Existing,1916,372983,2020-08-31,31,5,8,2020,Retirees,Families,194.67,Aug
8/31/2020,OCEANIA,Shopify,F1,New,333,48796,2020-08-31,31,5,8,2020,Young Adults,Families,146.53,Aug
8/31/2020,SOUTH AMERICA,Retail,C2,New,906,25570,2020-08-31,31,5,8,2020,Middle Aged,Couples,28.22,Aug
8/31/2020,USA,Retail,unknown,Existing,14146,694767,2020-08-31,31,5,8,2020,unknown,unknown,49.11,Aug
8/31/2020,OCEANIA,Shopify,unknown,Existing,621,121005,2020-08-31,31,5,8,2020,unknown,unknown,194.86,Aug
