week_date,region,platform,segment,customer_type,transactions,sales
8/31/2020,EUROPE,Retail,C3,New,3843,158799
8/31/2020,USA,Retail,F3,New,28987,1096531
8/31/2020,ASIA,Shopify,F2,New,245,35519
8/31/2020,OCEANIA,Retail,C3,Existing,339633,16520774
8/31/2020,EUROPE,Shopify,C3,Existing,182,45036
8/31/2020,CANADA,Shopify,F3,Existing,659,126801
8/31/2020,AFRICA,Shopify,C3,New,340,56734
8/31/2020,ASIA,Retail,C1,Existing,187781,6218547
8/31/2020,OCEANIA,Shopify,F2,Existing,6870,1373529
8/31/2020,OCEANIA,Retail,C1,New,172521,3964262
8/31/2020,CANADA,Shopify,C2,New,105,14694
8/31/2020,CANADA,Retail,F3,New,19524,690966
8/31/2020,ASIA,Retail,C4,New,53286,1520060
8/31/2020,SOUTH AMERICA,Retail,C1,New,2466,52421
8/31/2020,EUROPE,Retail,null,Guest,97001,3352338
8/31/2020,CANADA,Shopify,F3,New,36,6107
8/31/2020,USA,Shopify,F2,Existing,2031,402380
8/31/2020,AFRICA,Retail,F2,Existing,277600,14910405
8/31/2020,USA,Shopify,F2,New,157,25858
8/31/2020,EUROPE,Shopify,null,New,20,4085
8/31/2020,OCEANIA,Shopify,C1,Existing,2801,481198
8/31/2020,CANADA,Retail,null,Guest,396145,11133538
8/31/2020,USA,Retail,F2,New,28592,1063716
8/31/2020,CANADA,Retail,C2,Existing,23062,1001335
8/31/2020,OCEANIA,Retail,null,Guest,2437738,63989387
8/31/2020,EUROPE,Shopify,null,Guest,343,79359
8/31/2020,OCEANIA,Shopify,F3,Existing,3920,836865
8/31/2020,ASIA,Shopify,null,Existing,384,67279
8/31/2020,SOUTH AMERICA,Retail,F3,New,329,11863
8/31/2020,EUROPE,Retail,F2,New,1738,72565
8/31/2020,OCEANIA,Retail,F3,New,110894,3749562
8/31/2020,USA,Shopify,null,Existing,196,40740
8/31/2020,USA,Retail,C3,Existing,102736,5786447
8/31/2020,EUROPE,Retail,C4,Existing,4652,250536
8/31/2020,OCEANIA,Retail,null,Existing,50786,2056315
8/31/2020,SOUTH AMERICA,Shopify,F3,New,3,372
8/31/2020,OCEANIA,Shopify,C4,Existing,731,136743
8/31/2020,CANADA,Shopify,C3,New,115,16103
8/31/2020,SOUTH AMERICA,Shopify,null,Guest,2172,407861
8/31/2020,USA,Shopify,F3,New,63,10501
8/31/2020,CANADA,Retail,C4,New,13579,451994
8/31/2020,USA,Shopify,C4,Existing,164,29757
8/31/2020,CANADA,Shopify,C2,Existing,726,125653
8/31/2020,ASIA,Shopify,C3,New,247,35572
8/31/2020,ASIA,Shopify,C1,New,277,35314
8/31/2020,OCEANIA,Shopify,null,New,507,83877
8/31/2020,ASIA,Retail,C1,New,132545,2819145
8/31/2020,ASIA,Retail,F3,New,89785,2770220
8/31/2020,USA,Shopify,F3,Existing,1083,224778
8/31/2020,ASIA,Shopify,C1,Existing,1282,210754
8/31/2020,AFRICA,Shopify,null,New,300,51883
8/31/2020,OCEANIA,Shopify,C4,New,100,15077
8/31/2020,SOUTH AMERICA,Retail,C4,Existing,414,18437
8/31/2020,SOUTH AMERICA,Shopify,null,Existing,3,472
8/31/2020,CANADA,Retail,null,Existing,8410,411147
8/31/2020,EUROPE,Shopify,F2,Existing,249,55333
8/31/2020,SOUTH AMERICA,Retail,C1,Existing,3087,85926
8/31/2020,AFRICA,Shopify,F3,New,122,20927
8/31/2020,AFRICA,Retail,null,Existing,37883,1657269
8/31/2020,ASIA,Shopify,C4,New,46,6147
8/31/2020,ASIA,Retail,C4,Existing,110176,4894437
8/31/2020,AFRICA,Retail,null,Guest,1547309,44346247
8/31/2020,OCEANIA,Shopify,F1,Existing,4498,839437
8/31/2020,CANADA,Shopify,F1,Existing,789,134990
8/31/2020,SOUTH AMERICA,Shopify,C3,Existing,109,23057
8/31/2020,EUROPE,Retail,C4,New,1352,49263
8/31/2020,ASIA,Retail,null,Existing,38663,1493771
8/31/2020,AFRICA,Shopify,C2,New,389,57455
8/31/2020,CANADA,Retail,null,New,14685,561282
8/31/2020,USA,Retail,null,New,22186,930478
8/31/2020,OCEANIA,Shopify,C2,New,842,132424
8/31/2020,USA,Shopify,F1,New,135,20860
8/31/2020,AFRICA,Retail,C1,Existing,186404,6891042
8/31/2020,AFRICA,Shopify,C1,Existing,1689,269373
8/31/2020,SOUTH AMERICA,Retail,null,Guest,413244,16755039
8/31/2020,ASIA,Shopify,F1,New,228,33200
8/31/2020,OCEANIA,Retail,C1,Existing,260181,9284850
8/31/2020,EUROPE,Retail,F2,Existing,14482,887564
8/31/2020,EUROPE,Shopify,C1,Existing,118,27732
8/31/2020,AFRICA,Retail,C1,New,97673,2423159
8/31/2020,ASIA,Shopify,F3,New,113,15927
8/31/2020,SOUTH AMERICA,Retail,null,New,1266,44500
8/31/2020,SOUTH AMERICA,Shopify,F1,New,6,623
8/31/2020,USA,Retail,C3,New,46838,1769576
8/31/2020,USA,Retail,C4,New,18774,665292
8/31/2020,USA,Retail,C4,Existing,40024,2186307
8/31/2020,USA,Shopify,C2,Existing,1420,277104
8/31/2020,ASIA,Retail,C2,New,87269,2234801
8/31/2020,USA,Shopify,null,New,154,25762
8/31/2020,USA,Shopify,C3,Existing,1501,312519
8/31/2020,EUROPE,Shopify,C4,Existing,22,4971
8/31/2020,CANADA,Retail,C3,Existing,62206,3227065
8/31/2020,CANADA,Shopify,null,Guest,1621,269863
8/31/2020,AFRICA,Retail,F2,New,65304,2291992
8/31/2020,EUROPE,Retail,null,Existing,3211,150741
8/31/2020,ASIA,Shopify,null,New,278,46931
8/31/2020,EUROPE,Shopify,F1,Existing,138,30015
8/31/2020,USA,Retail,F2,Existing,96079,5527494
8/31/2020,USA,Shopify,C1,Existing,739,128749
8/31/2020,SOUTH AMERICA,Retail,F2,Existing,1098,48912
8/31/2020,OCEANIA,Retail,null,New,83764,2829225
8/31/2020,EUROPE,Retail,C3,Existing,14816,815588
8/31/2020,AFRICA,Shopify,C2,Existing,2568,471837
8/31/2020,ASIA,Shopify,F3,Existing,1916,372983
8/31/2020,OCEANIA,Shopify,F1,New,333,48796
8/31/2020,SOUTH AMERICA,Retail,C2,New,906,25570
8/31/2020,USA,Retail,null,Existing,14146,694767
8/31/2020,OCEANIA,Shopify,null,Existing,621,121005
8/31/2020,AFRICA,Shopify,F2,Existing,4911,944157
8/31/2020,CANADA,Retail,C1,Existing,56256,2299419
8/31/2020,OCEANIA,Retail,F2,Existing,345420,18073554
8/31/2020,USA,Shopify,null,Guest,2647,479002
8/31/2020,CANADA,Retail,C2,New,14915,458589
8/31/2020,AFRICA,Shopify,C4,Existing,438,80612
8/31/2020,AFRICA,Retail,F3,New,69632,2472247
8/31/2020,OCEANIA,Shopify,C1,New,522,69079
8/31/2020,SOUTH AMERICA,Retail,F1,New,312,11256
8/31/2020,EUROPE,Shopify,C2,New,17,2340
8/31/2020,CANADA,Shopify,F1,New,61,8381
8/31/2020,OCEANIA,Retail,C3,New,153925,4929679
8/31/2020,ASIA,Retail,C2,Existing,129513,4917788
8/31/2020,EUROPE,Shopify,C3,New,12,1924
8/31/2020,AFRICA,Shopify,null,Existing,376,70596
8/31/2020,CANADA,Retail,C3,New,29338,1026555
8/31/2020,CANADA,Shopify,F2,New,98,14789
8/31/2020,SOUTH AMERICA,Shopify,C2,Existing,134,26393
8/24/2020,AFRICA,Retail,null,Guest,1548059,44081216
8/24/2020,USA,Shopify,F2,Existing,1898,397206
8/24/2020,AFRICA,Shopify,F1,Existing,2592,489706
8/24/2020,CANADA,Shopify,F2,Existing,1350,258395
8/24/2020,USA,Retail,F2,New,28566,1082176
8/24/2020,OCEANIA,Shopify,null,New,430,71730
8/24/2020,CANADA,Retail,C1,New,30970,809732
8/24/2020,USA,Shopify,C1,Existing,773,138404
8/24/2020,EUROPE,Retail,null,Existing,2986,136429
8/24/2020,CANADA,Retail,C4,Existing,29326,1464490
8/24/2020,EUROPE,Retail,null,Guest,98743,3383683
8/24/2020,CANADA,Retail,C4,New,13219,437390
8/24/2020,USA,Shopify,C4,Existing,167,32507
8/24/2020,SOUTH AMERICA,Shopify,C4,Existing,5,988
8/24/2020,SOUTH AMERICA,Shopify,C2,New,46,7823
8/24/2020,OCEANIA,Retail,C4,New,65546,2023506
8/24/2020,EUROPE,Retail,F1,New,932,40229
8/24/2020,SOUTH AMERICA,Shopify,F2,Existing,30,6585
8/24/2020,EUROPE,Shopify,F1,Existing,132,26362
8/24/2020,ASIA,Shopify,null,New,318,50284
8/24/2020,AFRICA,Retail,C3,Existing,287091,14534326
8/24/2020,SOUTH AMERICA,Retail,F2,Existing,1127,50201
8/24/2020,AFRICA,Retail,F3,New,69461,2470906
8/24/2020,CANADA,Retail,F2,New,18109,637913
8/24/2020,CANADA,Shopify,null,Existing,76,13605
8/24/2020,ASIA,Retail,C2,Existing,129144,4996901
8/24/2020,ASIA,Shopify,C4,New,40,6803
8/24/2020,EUROPE,Shopify,C3,New,14,3295
8/24/2020,OCEANIA,Shopify,F2,Existing,6502,1307272
8/24/2020,ASIA,Shopify,C1,New,269,35424
8/24/2020,OCEANIA,Shopify,C1,Existing,2673,471401
8/24/2020,USA,Shopify,C1,New,151,21917
8/24/2020,SOUTH AMERICA,Shopify,C1,New,16,2666
8/24/2020,SOUTH AMERICA,Retail,F2,New,446,17385
8/24/2020,USA,Retail,null,New,21594,919265
8/24/2020,AFRICA,Shopify,F2,Existing,4689,928412
8/24/2020,CANADA,Shopify,C4,Existing,89,16312
8/24/2020,EUROPE,Retail,F3,Existing,18657,1116468
8/24/2020,SOUTH AMERICA,Retail,C2,New,949,29642
8/24/2020,OCEANIA,Shopify,C2,New,762,126151
8/24/2020,OCEANIA,Retail,C2,Existing,169736,6645099
8/24/2020,USA,Retail,F1,Existing,40597,2371526
8/24/2020,OCEANIA,Shopify,C4,New,96,13461
8/24/2020,AFRICA,Shopify,C1,New,293,39564
8/24/2020,CANADA,Shopify,C2,Existing,695,120729
8/24/2020,AFRICA,Shopify,C1,Existing,1658,270496
8/24/2020,ASIA,Shopify,C3,New,301,45870
8/24/2020,CANADA,Shopify,null,New,84,13692
8/24/2020,AFRICA,Shopify,C4,New,62,10269
8/24/2020,SOUTH AMERICA,Shopify,null,Existing,5,760
8/24/2020,CANADA,Shopify,F3,New,27,3387
8/24/2020,ASIA,Shopify,F2,Existing,2947,567165
8/24/2020,ASIA,Retail,C3,Existing,244816,11196782
8/24/2020,USA,Shopify,null,Existing,154,34932
8/24/2020,OCEANIA,Shopify,C4,Existing,687,125849
8/24/2020,USA,Retail,C4,Existing,40986,2227688
8/24/2020,ASIA,Retail,C1,New,134550,3010765
8/24/2020,SOUTH AMERICA,Retail,F1,Existing,773,31067
8/24/2020,EUROPE,Shopify,C2,Existing,151,47032
8/24/2020,SOUTH AMERICA,Retail,null,Existing,314,9372
8/24/2020,OCEANIA,Retail,C4,Existing,152920,7470104
8/24/2020,USA,Shopify,C3,Existing,1420,310461
8/24/2020,EUROPE,Shopify,C4,Existing,20,6265
8/24/2020,AFRICA,Retail,C2,Existing,113188,4841694
8/24/2020,ASIA,Retail,C4,New,53411,1547953
8/24/2020,SOUTH AMERICA,Retail,C1,New,2393,52387
8/24/2020,USA,Shopify,C2,New,238,36620
8/24/2020,CANADA,Shopify,C1,Existing,555,89309
8/24/2020,EUROPE,Retail,C3,Existing,15076,813088
8/24/2020,SOUTH AMERICA,Shopify,null,New,38,7671
8/24/2020,SOUTH AMERICA,Retail,C1,Existing,3053,82693
8/24/2020,AFRICA,Shopify,C2,New,386,58239
8/24/2020,OCEANIA,Retail,F2,Existing,348114,18083790
8/24/2020,CANADA,Retail,F1,New,6852,266751
8/24/2020,EUROPE,Retail,F1,Existing,6739,378826
8/24/2020,ASIA,Retail,null,New,64558,2208090
8/24/2020,EUROPE,Retail,F2,New,1652,74178
8/24/2020,SOUTH AMERICA,Retail,F1,New,292,11098
8/24/2020,CANADA,Shopify,C3,Existing,799,152027
8/24/2020,EUROPE,Retail,C1,Existing,14862,625492
8/24/2020,AFRICA,Shopify,null,Existing,338,66080
8/24/2020,OCEANIA,Retail,C1,Existing,261672,9346295
8/24/2020,SOUTH AMERICA,Shopify,C3,New,17,2140
8/24/2020,CANADA,Shopify,F1,New,55,8698
8/24/2020,CANADA,Retail,F3,New,19493,680924
8/24/2020,USA,Retail,C4,New,18943,679544
8/24/2020,SOUTH AMERICA,Retail,C4,New,279,10733
8/24/2020,SOUTH AMERICA,Retail,null,New,1202,42883
8/24/2020,SOUTH AMERICA,Shopify,F1,New,7,1292
8/24/2020,SOUTH AMERICA,Shopify,F3,Existing,36,8036
8/24/2020,USA,Shopify,C4,New,28,4463
8/24/2020,EUROPE,Retail,F2,Existing,14483,840537
8/24/2020,USA,Retail,F3,New,29273,1096534
8/24/2020,EUROPE,Shopify,C1,Existing,96,20686
8/24/2020,OCEANIA,Shopify,null,Guest,10804,1931973
8/24/2020,USA,Retail,F2,Existing,96492,5452817
8/24/2020,USA,Shopify,null,New,128,20669
8/24/2020,USA,Retail,C1,Existing,58184,2456263
8/24/2020,EUROPE,Retail,C2,New,2918,106346
8/24/2020,SOUTH AMERICA,Shopify,F2,New,5,641
8/24/2020,AFRICA,Retail,F2,New,65760,2337007
8/24/2020,ASIA,Retail,F1,Existing,94451,4573475
8/24/2020,AFRICA,Retail,F2,Existing,279576,14854110
8/24/2020,CANADA,Retail,C2,Existing,23267,1015278
8/24/2020,AFRICA,Retail,C1,Existing,188391,6906988
8/24/2020,ASIA,Shopify,F2,New,239,34728
8/24/2020,ASIA,Retail,C3,New,121636,3741035
8/24/2020,ASIA,Retail,F3,New,90129,2819086
8/24/2020,CANADA,Retail,F2,Existing,61805,3241876
8/24/2020,EUROPE,Retail,F3,New,1735,71648
8/24/2020,ASIA,Shopify,C4,Existing,287,52221
8/24/2020,SOUTH AMERICA,Shopify,F3,New,4,809
8/24/2020,EUROPE,Shopify,null,New,14,3630
8/24/2020,CANADA,Retail,C1,Existing,56667,2280564
8/24/2020,OCEANIA,Shopify,null,Existing,563,115870
8/24/2020,AFRICA,Shopify,null,Guest,5776,1033296
8/24/2020,AFRICA,Shopify,C2,Existing,2603,500046
8/24/2020,EUROPE,Shopify,F3,Existing,113,29492
8/24/2020,CANADA,Shopify,C2,New,93,14157
8/24/2020,SOUTH AMERICA,Retail,F3,Existing,1330,64047
8/24/2020,USA,Shopify,C3,New,160,26524
8/24/2020,OCEANIA,Retail,null,Guest,2433987,64142815
8/24/2020,ASIA,Shopify,C1,Existing,1254,214075
8/24/2020,AFRICA,Shopify,null,New,311,54039
8/24/2020,OCEANIA,Retail,F1,Existing,146120,7374481
8/24/2020,AFRICA,Retail,C4,New,47161,1561210
8/24/2020,EUROPE,Retail,C2,Existing,9838,469133
8/24/2020,SOUTH AMERICA,Shopify,C1,Existing,67,11980
8/24/2020,OCEANIA,Retail,C3,Existing,343102,16616246
8/24/2020,EUROPE,Shopify,C3,Existing,159,43242
8/24/2020,ASIA,Retail,F2,Existing,220882,10645503
8/24/2020,AFRICA,Retail,F3,Existing,407927,22769738
8/24/2020,ASIA,Retail,F3,Existing,403795,20476242
8/24/2020,OCEANIA,Retail,F1,New,42198,1524244
8/24/2020,EUROPE,Shopify,F1,New,6,1407
8/24/2020,CANADA,Retail,C2,New,15253,528808
8/24/2020,AFRICA,Shopify,C3,New,315,53692
8/24/2020,OCEANIA,Shopify,F3,New,192,33223
8/24/2020,AFRICA,Shopify,C4,Existing,404,78136
8/24/2020,SOUTH AMERICA,Retail,null,Guest,405864,16290625
8/24/2020,USA,Retail,C2,New,27156,996924
8/24/2020,SOUTH AMERICA,Shopify,F1,Existing,64,13714
8/24/2020,OCEANIA,Retail,C1,New,176101,4182786
8/24/2020,EUROPE,Shopify,C1,New,14,2836
8/24/2020,ASIA,Shopify,C2,Existing,2297,413897
8/24/2020,USA,Shopify,F3,New,52,9137
8/24/2020,EUROPE,Retail,C3,New,3841,159543
8/24/2020,CANADA,Retail,F1,Existing,24088,1298505
8/24/2020,CANADA,Retail,null,Guest,394587,10941951
8/24/2020,USA,Shopify,F3,Existing,974,207813
8/24/2020,AFRICA,Retail,F1,Existing,98813,5239692
8/24/2020,OCEANIA,Retail,C2,New,112315,3330717
8/24/2020,USA,Retail,F1,New,12337,537132
8/24/2020,EUROPE,Shopify,C2,New,12,3280
8/24/2020,USA,Retail,C3,Existing,103120,5765461
8/24/2020,EUROPE,Retail,C4,Existing,4953,266237
8/24/2020,CANADA,Shopify,F3,Existing,650,131072
8/24/2020,CANADA,Shopify,C1,New,80,10467
8/24/2020,SOUTH AMERICA,Shopify,C2,Existing,124,25194
8/24/2020,USA,Retail,C3,New,47022,1797843
8/24/2020,SOUTH AMERICA,Retail,C3,New,952,38345
8/24/2020,ASIA,Retail,C1,Existing,188753,6315069
8/24/2020,EUROPE,Retail,null,New,2962,129020
8/24/2020,AFRICA,Retail,C2,New,58705,1860988
8/24/2020,AFRICA,Shopify,F3,Existing,2331,486331
8/24/2020,ASIA,Shopify,F1,New,208,28542
8/24/2020,SOUTH AMERICA,Shopify,C3,Existing,91,18712
8/24/2020,OCEANIA,Retail,C3,New,155586,5133194
8/24/2020,ASIA,Retail,C2,New,87964,2462103
8/24/2020,EUROPE,Retail,C4,New,1374,50412
8/24/2020,USA,Retail,C1,New,37271,1064389
8/24/2020,USA,Retail,null,Existing,13157,697708
8/24/2020,AFRICA,Retail,C3,New,111964,3967870
8/24/2020,ASIA,Retail,F1,New,31513,1032953
8/24/2020,OCEANIA,Shopify,C2,Existing,4527,863537
8/24/2020,USA,Shopify,F1,Existing,1334,258305
8/24/2020,EUROPE,Retail,C1,New,4520,135256
8/24/2020,CANADA,Shopify,C3,New,106,16974
8/24/2020,OCEANIA,Retail,null,Existing,45824,1869997
8/24/2020,ASIA,Shopify,null,Guest,5867,976399
8/24/2020,EUROPE,Shopify,F2,Existing,216,47335
8/24/2020,CANADA,Retail,null,Existing,7536,360482
8/24/2020,CANADA,Shopify,F1,Existing,769,133782
8/24/2020,OCEANIA,Shopify,C3,New,536,86927
8/24/2020,ASIA,Shopify,F3,New,115,17670
8/24/2020,SOUTH AMERICA,Retail,C2,Existing,987,38556
8/24/2020,SOUTH AMERICA,Shopify,C4,New,4,486
8/24/2020,ASIA,Retail,null,Guest,1912461,48873892
8/24/2020,OCEANIA,Retail,F2,New,92755,3192813
8/24/2020,OCEANIA,Shopify,F2,New,413,64341
8/24/2020,USA,Shopify,F1,New,130,20685
8/24/2020,USA,Retail,null,Guest,527116,16395314
8/24/2020,ASIA,Shopify,F3,Existing,1879,387214
8/24/2020,OCEANIA,Shopify,F1,New,365,55996
8/24/2020,OCEANIA,Shopify,F1,Existing,4361,836190
8/24/2020,EUROPE,Shopify,null,Guest,370,89676
8/24/2020,CANADA,Retail,C3,Existing,62514,3154333
8/24/2020,CANADA,Shopify,null,Guest,1697,288470
8/24/2020,OCEANIA,Shopify,F3,Existing,3720,777026
8/24/2020,AFRICA,Retail,C1,New,99449,2478289
8/24/2020,ASIA,Shopify,null,Existing,375,70227
8/24/2020,CANADA,Retail,F3,Existing,94749,5212768
8/24/2020,USA,Shopify,C2,Existing,1367,267523
8/24/2020,ASIA,Shopify,C3,Existing,2056,408353
8/24/2020,OCEANIA,Shopify,C1,New,478,67176
8/24/2020,SOUTH AMERICA,Retail,C3,Existing,1355,64705
8/24/2020,EUROPE,Shopify,F2,New,4,679
8/24/2020,OCEANIA,Shopify,C3,Existing,4465,914171
8/24/2020,AFRICA,Shopify,F1,New,190,29672
8/24/2020,SOUTH AMERICA,Retail,C4,Existing,363,17632
8/24/2020,AFRICA,Retail,F1,New,23414,885333
8/24/2020,CANADA,Shopify,C4,New,14,1685
8/24/2020,SOUTH AMERICA,Shopify,null,Guest,2035,386494
8/24/2020,OCEANIA,Retail,F3,New,112414,3787305
8/24/2020,EUROPE,Shopify,F3,New,2,318
8/24/2020,ASIA,Retail,C4,Existing,110173,4928018
8/24/2020,USA,Retail,F3,Existing,143829,8667351
8/24/2020,SOUTH AMERICA,Retail,F3,New,325,11312
8/24/2020,CANADA,Shopify,F2,New,104,17346
8/24/2020,AFRICA,Shopify,F3,New,120,18969
8/24/2020,AFRICA,Retail,C4,Existing,118980,6032018
8/24/2020,USA,Shopify,null,Guest,2535,457814
8/24/2020,EUROPE,Shopify,null,Existing,16,4271
8/24/2020,CANADA,Retail,C3,New,29000,1015962
8/24/2020,USA,Retail,C2,Existing,43328,2165779
8/24/2020,CANADA,Retail,null,New,14408,557640
8/24/2020,ASIA,Shopify,C2,New,446,60937
8/24/2020,OCEANIA,Retail,null,New,81630,2814143
8/24/2020,AFRICA,Retail,null,Existing,34476,1488390
8/24/2020,OCEANIA,Retail,F3,Existing,556915,30166464
8/24/2020,ASIA,Retail,null,Existing,35097,1414999
8/24/2020,AFRICA,Shopify,C3,Existing,2677,546690
8/24/2020,ASIA,Retail,F2,New,70410,2267164
8/24/2020,ASIA,Shopify,F1,Existing,2149,383717
8/24/2020,AFRICA,Shopify,F2,New,265,41345
8/24/2020,AFRICA,Retail,null,New,56867,2211329
